split,score_column,roc_auc_current,roc_auc_inverted,pr_auc_current,pr_auc_inverted,recommended_action,score_min,score_max
validation,logistic_regression_score,0.30526602200275393,0.6947339779972461,0.01118594474371994,0.02476882513437005,CHECK / POSSIBLY INVERT,1.3425009636543505e-96,1.0
validation,random_forest_score,0.40030633239510593,0.599693667604894,0.013502982609253587,0.021374866947366886,CHECK / POSSIBLY INVERT,0.0,0.6347034350983775
validation,xgboost_score,0.5447984926157093,0.45520150738429055,0.017789885857665305,0.01781918859268597,KEEP,0.0051885215,0.245578
validation,isolation_forest_score,0.30213131287751227,0.6978686871224878,0.010633732142686345,0.03553369783141756,CHECK / POSSIBLY INVERT,0.013832932811646,0.9826321320349316
test,logistic_regression_score,0.01204335232901031,0.9912268724962452,0.006347472590745738,0.4190631913051842,CHECK / POSSIBLY INVERT,1.2213450970615862e-90,1.0
test,random_forest_score,0.2082260665499075,0.7917739334500925,0.009375647480611517,0.03206678105905395,CHECK / POSSIBLY INVERT,0.0,0.6739479297829674
test,xgboost_score,0.6651998773180716,0.3348001226819284,0.018843244596884825,0.009626143703441472,KEEP,0.0056367395,0.53566843
test,isolation_forest_score,0.9697805130803615,0.030219486919638428,0.16376474944086286,0.006420593753721205,KEEP,0.0121841516143809,0.9148178772366516
