approach,model,threshold,min_duration_minutes,events_evaluated,events_detected,failure_detection_rate,median_lead_time_hours,false_alarm_episodes_per_day,total_alarm_time_hours,total_alarm_time_percentage,total_alarm_episodes,false_alarm_episodes,alert_episode_precision,precision,recall,f2
Step 7 original threshold rule,Isolation Forest,0.01,,1,1,1.0,11.998055555555556,0.9778973713469424,963.7747222222224,,48,47,0.0208333333333333,0.0125027260935939,1.0,0.059536172631671
Step 7 original threshold rule,Logistic Regression,0.99,,1,0,0.0,,0.0416126540998698,0.2158333333333333,,2,2,0.0,0.0,0.0,0.0
Step 7 original threshold rule,Random Forest,0.26,,1,0,0.0,,2.892079459940957,121.52944444444444,,139,139,0.0,0.0,0.0,0.0
Step 7 original threshold rule,XGBoost,0.45,,1,0,0.0,,3.2457870197898515,90.52944444444444,,156,156,0.0,0.0,0.0,0.0
Step 7B refined alarm-burden rule,Isolation Forest,0.42,5.0,1,1,1.0,11.998055555555556,1.3732175852957063,50.95777777777777,4.417684125759798,67,66,0.014925373134328358,0.30100977720788585,0.8620610511820059,0.6279676319133284
Step 7B refined alarm-burden rule,XGBoost,0.85,30.0,1,0,0.0,,0.020806327049934945,5.360833333333334,0.46474688163969274,1,1,0.0,0.0,0.0,0.0
Step 7B refined alarm-burden rule,Logistic Regression,0.99,5.0,1,0,0.0,,0.062418981149804834,0.30694444444444446,0.02660994373863208,3,3,0.0,0.0,0.0,0.0
Step 7B refined alarm-burden rule,Random Forest,0.18,10.0,1,0,0.0,,3.2249806927399165,178.98388888888888,15.516655537047663,155,155,0.0,0.0,0.0,0.0
